1,1,BBQ Pizza,210
2,1,Special Spicy Pizza,220
3,1,Lions Appetite Pizza,245
4,1,Paneer Ghee Roast Pizza,240
5,1,Cheese N Cheese Pizza,145
6,1,Pizza Box for One [Veg],299
7,1,Pizza Box for One [Non-Veg],325
8,1,Family pizza box [Veg],745
9,1,Family pizza box [Non-Veg],799
10,1,Pizza Party Box,1050
11,1,Laziz Special Combo,799
12,1,Margherita Pizza,145
13,1,Cheese N Cheese Pizza,145
14,1,Pomidor Pizza,145
15,1,Laziz Desi Veg Pizza,180
16,1,Corn Golden Pizza,175
17,1,Vegetariana Pizza,180
18,1,Garden Fresh Pizza,190
19,1,Veg Paprika Pizza,190
20,1,Paneer Tikka Pizza,190
21,1,Fiery Paneer Pizza,195
22,1,Mushroom Paprika Pizza,195
23,1,Veg Schezwan Pizza,190
24,1,Paneer Chilli Pizza,195
25,1,Carnival Veg Pizza,210
26,1,Mexican Veg Pizza,215
27,1,Corn Exotica Pizza,215
28,1,Veg Extra Delight Pizza,215
29,1,Achari Veg Pizza,210
30,1,Yum Dum Pizza,210
31,1,Curry Veg Pizza,210
32,1,Special Spicy Pizza,220
33,1,Mushroom Garlic Delight Pizza,215
34,1,Pepper Paneer Pizza,215
35,1,Paneer Ghee Roast Pizza,240
36,1,Jamaican Veg Pizza,240
37,1,Veg Extraveganza Pizza,250
38,1,Egg Scrambled Pizza,230
39,1,Egg Hot and Spicy Pizza,230
40,1,Peppy Egg Pizza,230
41,1,Chicken Tikka Pizza,195
42,1,Chicken Schezwan Pizza,195
43,1,Chicken Seekh Kabab Pizza,195
44,1,Tandoori Chicken Pizza,195
45,1,Chicken Hawaiian Pizza,190
46,1,Chicken Keema Pizza,195
47,1,Mexican Chicken Pizza,210
48,1,Carnival Chicken Pizza,210
49,1,BBQ Pizza,210
50,1,Butter Chicken Pizza,210
